"Pergunta","Posição","tags","deck"
"Qual é a interpretação do Índice de Pearl?<br>{{c1::É o número de gestações que ocorrem em 12 meses a cada 100 mulheres usando o método contraceptivo.}}","01"," Estratégia::Ginecologia::Planejamento_Familiar::01.Conceitos_Iniciais::a)Índice_de_Pearl ","Estratégia"
"Qual é o método contraceptivo mais eficaz?<br>{{c1::Implante subdérmico (Implanon).<br><img src=""DenissonC_FC_089.jpg"">}}","33"," Estratégia::Ginecologia::Planejamento_Familiar::05.Hormonal_Progesterona ","Estratégia"
"O que significa a categoria 1 nos critérios de elegibilidade para contraceptivos?<br>{{c1::Não há restrições conhecidas, prescrever o método.}}","03"," Estratégia::Ginecologia::Planejamento_Familiar::01.Conceitos_Iniciais::b)Critérios_de_Elegibilidade ","Estratégia"
"O que significa a categoria 2&nbsp;nos critérios de elegibilidade para contraceptivos?<br>{{c1::Benefícios superam os riscos, em geral, prescrever.}}","04"," Estratégia::Ginecologia::Planejamento_Familiar::01.Conceitos_Iniciais::b)Critérios_de_Elegibilidade ","Estratégia"
"O que significa a categoria 3&nbsp;nos critérios de elegibilidade para contraceptivos?<br>{{c1::Os riscos são maiores que as vantagens, prescrever apenas se não houver alternativas.}}","05"," Estratégia::Ginecologia::Planejamento_Familiar::01.Conceitos_Iniciais::b)Critérios_de_Elegibilidade ","Estratégia"
"O que significa a categoria 4&nbsp;nos critérios de elegibilidade para contraceptivos?<br>{{c1::Os riscos são inaceitáveis, nunca prescrever.}}","06"," Estratégia::Ginecologia::Planejamento_Familiar::01.Conceitos_Iniciais::b)Critérios_de_Elegibilidade ","Estratégia"
"Calcule o método da tabelinha (Ogino-Knaus) se o ciclo mais curto tem 26 dias e o mais longo 30 dias.<br>{{c1::<br>Período fértil = (ciclo mais curto - 18) até (ciclo mais longo - 11).<br>Período fértil = (26 - 18) até (30 - 11) = 8º dia até o 19º dia do ciclo.<br>}}","11"," Estratégia::Ginecologia::Planejamento_Familiar::02.Métodos_Comportamentais::d)Tabelinha ","Estratégia"
"Como funciona o método contraceptivo baseado no muco cervical?<br>{{c1::Evitar o sexo quando o muco estiver filante e abudante.<br><img src=""paste-75406ebd8ec0460db814b56454c09c22d5e7d0fb.png"" data-editor-shrink=""true"">}}","10"," Estratégia::Ginecologia::Planejamento_Familiar::02.Métodos_Comportamentais::c)Muco_Cervical ","Estratégia"
"No máximo, quanto tempo demora para retorno do ciclo menstrual após parar o uso do contraceptivo oral combinado?<br>{{c1::90 dias.<br><img src=""DenissonC_FC_009 - Suspensão do contraceptivo e gestação.jpg"">}}","19"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::a)Introdução ","Estratégia"
"Qual é o hormônio mais importante para a contracepção nas pílulas orais combinadas?<br>{{c1::Progesterona.}}","17"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::a)Introdução ","Estratégia"
"O que fazer em caso de esquecimento de 1 comprimido da pílula oral combinada?<br>{{c1::Tomar a pílula esquecida assim que lembrar e continuar o resto da cartela normalmente.}}","25"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::c)Esquecimento ","Estratégia"
"O que fazer em caso de esquecimento de 2 comprimidos da pílula oral combinada?<br>{{c1::Tomar assim que lembrar e continuar a cartela normalmente, porém adicionar método de barreira por 7 dias pelo menos.}}","26"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::c)Esquecimento ","Estratégia"
"Qual é o contraceptivo contraindicado para mulheres &gt; 35 anos e fumantes?<br>{{c1::Contraceptivo hormonal combinado (risco sinérgico de trombose).}}","22"," Estratégia::Ginecologia::Planejamento_Familiar::04.Métodos_Hormonais_Combinados::b)Indicações ","Estratégia"
